Destination,Destination_Name,Distance_Miles,Path,Path_Names
24,Walmart on Loughborough,10.4972,0 -> 10 -> 1 -> 31 -> 27 -> 15 -> 24,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center -> Wingstop/Promenade Center -> Merced Mall Target -> Walmart on Loughborough
25,Meadows Ave. & Olivewood Dr. (Foodmaxx),11.1988,0 -> 10 -> 1 -> 31 -> 27 -> 15 -> 24 -> 25,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center -> Wingstop/Promenade Center -> Merced Mall Target -> Walmart on Loughborough -> Meadows Ave. & Olivewood Dr. (Foodmaxx)
26,Yosemite Crossings Shopping Center,7.67319,0 -> 10 -> 1 -> 31 -> 27 -> 26,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center -> Wingstop/Promenade Center -> Yosemite Crossings Shopping Center
27,Wingstop/Promenade Center,7.16876,0 -> 10 -> 1 -> 31 -> 27,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center -> Wingstop/Promenade Center
28,Merced Transpo,11.7629,0 -> 10 -> 1 -> 19 -> 30 -> 21 -> 22 -> 23 -> 34 -> 28,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Foothill Drive -> Mercy Hospital / Tri-College (Southbound) -> G Street South (Raley's) -> Amtrak Station -> K Street Between 18th and 19th Street -> UC Merced Downtown Campus Center -> Merced Transpo
29,Moraga Subdivision,7.40507,0 -> 10 -> 1 -> 31 -> 29,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center -> Moraga Subdivision
30,Mercy Hospital / Tri-College (Southbound),7.46385,0 -> 10 -> 1 -> 19 -> 30,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Foothill Drive -> Mercy Hospital / Tri-College (Southbound)
31,University Surgery Center,6.68595,0 -> 10 -> 1 -> 31,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center
32,Ironstone Drive and M Street,11.0731,0 -> 10 -> 1 -> 31 -> 27 -> 15 -> 16 -> 32,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center -> Wingstop/Promenade Center -> Merced Mall Target -> Village Apartments. M Street -> Ironstone Drive and M Street
33,Yosemite and Cordova (Physician Center),8.0027,0 -> 10 -> 1 -> 2 -> 33,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Mercy Hospital / Tri-College (Southbound) -> Yosemite and Cordova (Physician Center)
34,UC Merced Downtown Campus Center,11.4062,0 -> 10 -> 1 -> 19 -> 30 -> 21 -> 22 -> 23 -> 34,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Foothill Drive -> Mercy Hospital / Tri-College (Southbound) -> G Street South (Raley's) -> Amtrak Station -> K Street Between 18th and 19th Street -> UC Merced Downtown Campus Center
