Destination,Destination_Name,Distance_Miles,Path,Path_Names
15,Willowbrook and La Cresenta Avenue,6.53869,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue
16,La Palma Avenue and Willowbrook Drive,6.75207,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive
17,UC Merced,3.30476,0 -> 30 -> 5 -> 17,781 IRMA DRIVE -> M Circle Bus Stop  -> M Street and Bellevue Road -> UC Merced
18, Mercy Hospital / Tri-College (Southbound),1.94241,0 -> 18,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound)
19, El Portal Plaza & G St. (Southbound),2.70414,0 -> 18 -> 19,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound)
20, G St. & W. Alexander Ave. (Paul's Place),3.40064,0 -> 18 -> 19 -> 20,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place)
21, Olive Avenue and North Highway 59,6.05091,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59
22, North Highway 59 and Willowbrook Drive,6.23857,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive
23, Granville Apartments,6.89728,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments
24, Willowbrook and North Highway 59,7.0937,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23 -> 24,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments ->  Willowbrook and North Highway 59
25, North Highway 59 and Olive Avenue,7.28141,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23 -> 24 -> 25,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments ->  Willowbrook and North Highway 59 ->  North Highway 59 and Olive Avenue
26, G St. & W. Alexander Ave. (76 Gas Station),9.55308,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23 -> 24 -> 25 -> 3 -> 2 -> 14 -> 26,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments ->  Willowbrook and North Highway 59 ->  North Highway 59 and Olive Avenue -> Olive Avenue and Park Avenue -> Park Avenue and Alexander Avenue -> Alexander Avenue and G Street ->  G St. & W. Alexander Ave. (76 Gas Station)
27, Rite Aid / Walgreens,9.8222,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23 -> 24 -> 25 -> 3 -> 2 -> 14 -> 26 -> 27,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments ->  Willowbrook and North Highway 59 ->  North Highway 59 and Olive Avenue -> Olive Avenue and Park Avenue -> Park Avenue and Alexander Avenue -> Alexander Avenue and G Street ->  G St. & W. Alexander Ave. (76 Gas Station) ->  Rite Aid / Walgreens
28, El Portal Plaza & G St. (Northbound),2.51717,0 -> 28,781 IRMA DRIVE ->  El Portal Plaza & G St. (Northbound)
29, Mercy Hospital / Tri-College (Northbound),1.66279,0 -> 29,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Northbound)
30,M Circle Bus Stop ,0.464164,0 -> 30,781 IRMA DRIVE -> M Circle Bus Stop 
