Index1,Index2,Intersections,Distance
27843,27844,University Transit Center -  Mercy Hospital / Tri-College (Southbound),4.01070254752
27844,27845, Mercy Hospital / Tri-College (Southbound) -  El Portal Plaza & G St. (Southbound),0.76173895408
27845,27846, El Portal Plaza & G St. (Southbound) -  G St. & W. Alexander Ave. (Paul's Place),0.69649497808
27846,27849, G St. & W. Alexander Ave. (Paul's Place) -  Granville Apartments,2.83736731056
27849,27852, Granville Apartments -  G St. & W. Alexander Ave. (76 Gas Station),2.60360746512
27852,27853, G St. & W. Alexander Ave. (76 Gas Station) -  Rite Aid / Walgreens,0.26911586672
27853,27854, Rite Aid / Walgreens -  El Portal Plaza & G St. (Northbound),0.5078466817599999
27854,27855, El Portal Plaza & G St. (Northbound) -  Mercy Hospital / Tri-College (Northbound),0.86041270064
27855,27856, Mercy Hospital / Tri-College (Northbound) -  M Circle Bus Stop,2.17312149776
27856,27843, M Circle Bus Stop - University Transit Center,2.9234893588799995
