Index1,Index2,Intersections,Distance
27843,6757,University Transit Center - Bellevue Road and Lake Road,0.18168893887999998
6757,18613,Bellevue Road and Lake Road - Bellevue Road and G Street,1.9996967958399998
18613,27844,Bellevue Road and G Street -  Mercy Hospital / Tri-College (Southbound),1.7554979142399998
27844,27845, Mercy Hospital / Tri-College (Southbound) -  El Portal Plaza & G St. (Southbound),0.76173895408
27845,27846, El Portal Plaza & G St. (Southbound) -  G St. & W. Alexander Ave. (Paul's Place),0.69649497808
27846,19116, G St. & W. Alexander Ave. (Paul's Place) - G Street and Park Avenue,0.20728943232
19116,22764,G Street and Park Avenue - Park Avenue and Olive Avenue,0.6689060968
22764,27847,Park Avenue and Olive Avenue -  Olive Avenue and North Highway 59,1.7740769131199998
27847,27848, Olive Avenue and North Highway 59 -  North Highway 59 and Willowbrook Drive,0.1876541024
27848,25251, North Highway 59 and Willowbrook Drive - Willowbrook and La Cresenta Avenue,0.3001222896
25251,20873,Willowbrook and La Cresenta Avenue - La Cresenta Avenue and La Mirada Drive,0.10302334496
20873,15545,La Cresenta Avenue and La Mirada Drive - La Mirada Drive and La Palma Avenue,0.0329326736
15545,26456,La Mirada Drive and La Palma Avenue - La Palma Avenue and Willowbrook Drive,0.07742285151999999
26456,27849,La Palma Avenue and Willowbrook Drive -  Granville Apartments,0.14521444943999998
27849,27850, Granville Apartments -  Willowbrook and North Highway 59,0.19641543632
27850,27851, Willowbrook and North Highway 59 -  North Highway 59 and Olive Avenue,0.18771623952
27851,5227, North Highway 59 and Olive Avenue - Olive Avenue and Park Avenue,1.7740769131199998
5227,3902,Olive Avenue and Park Avenue - Park Avenue and Alexander Avenue,0.25314662687999995
3902,18754,Park Avenue and Alexander Avenue - Park Avenue and G Street,0.43458701728
3902,24126,Park Avenue and Alexander Avenue - Alexander Avenue and G Street,0.20082717183999999
24126,27852,Alexander Avenue and G Street -  G St. & W. Alexander Ave. (76 Gas Station),0.04362025824
27852,27853, G St. & W. Alexander Ave. (76 Gas Station) -  Rite Aid / Walgreens,0.26911586672
27853,27854, Rite Aid / Walgreens -  El Portal Plaza & G St. (Northbound),0.5078466817599999
27854,27855, El Portal Plaza & G St. (Northbound) -  Mercy Hospital / Tri-College (Northbound),0.86041270064
27855,15975, Mercy Hospital / Tri-College (Northbound) - G Street and Cardella Road,0.5013222841599999
15975,12522,G Street and Cardella Road - Cardella Road and M Street,0.47945001791999997
12522,27856,Cardella Road and M Street -  M Circle Bus Stop,0.8282878095999999
27856,7003,M Circle Bus Stop  - M Street and Bellevue Road,0.20405830207999998
7003,27843,M Street and Bellevue Road - University Transit Center,2.63654013872
